pokemon_id,pokemon_name,ranked_default_status,strict_M_B_status,move_id,move_name,type,category,power,accuracy,source_status
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,auroraveil,Aurora Veil,Ice,Status,,,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,avalanche,Avalanche,Ice,Physical,60,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,blizzard,Blizzard,Ice,Special,110,70,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,bodypress,Body Press,Fighting,Physical,80,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,bodyslam,Body Slam,Normal,Physical,85,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,brickbreak,Brick Break,Fighting,Physical,75,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,bulldoze,Bulldoze,Ground,Physical,60,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,bulletseed,Bullet Seed,Grass,Physical,25,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,chillingwater,Chilling Water,Water,Special,50,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,curse,Curse,Ghost,Status,,,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,doubleedge,Double-Edge,Normal,Physical,120,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,earthpower,Earth Power,Ground,Special,90,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,earthquake,Earthquake,Ground,Physical,100,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,endure,Endure,Normal,Status,,,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,energyball,Energy Ball,Grass,Special,90,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,facade,Facade,Normal,Physical,70,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,fling,Fling,Dark,Physical,,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,focusblast,Focus Blast,Fighting,Special,120,70,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,focuspunch,Focus Punch,Fighting,Physical,150,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,frostbreath,Frost Breath,Ice,Special,60,90,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,gigadrain,Giga Drain,Grass,Special,75,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,gigaimpact,Giga Impact,Normal,Physical,150,90,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,grassknot,Grass Knot,Grass,Special,,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,grassyglide,Grassy Glide,Grass,Physical,55,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,growth,Growth,Grass,Status,,,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,hardpress,Hard Press,Steel,Physical,,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,helpinghand,Helping Hand,Normal,Status,,,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,hyperbeam,Hyper Beam,Normal,Special,150,90,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,icebeam,Ice Beam,Ice,Special,90,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,icehammer,Ice Hammer,Ice,Physical,100,90,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,icepunch,Ice Punch,Ice,Physical,75,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,iceshard,Ice Shard,Ice,Physical,40,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,icespinner,Ice Spinner,Ice,Physical,80,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,iciclespear,Icicle Spear,Ice,Physical,25,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,icywind,Icy Wind,Ice,Special,55,95,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,ingrain,Ingrain,Grass,Status,,,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,irontail,Iron Tail,Steel,Physical,100,75,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,leafstorm,Leaf Storm,Grass,Special,130,90,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,leechseed,Leech Seed,Grass,Status,,90,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,lowkick,Low Kick,Fighting,Physical,,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,megakick,Mega Kick,Normal,Physical,120,75,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,mudslap,Mud-Slap,Ground,Special,20,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,outrage,Outrage,Dragon,Physical,120,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,protect,Protect,Normal,Status,,,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,raindance,Rain Dance,Water,Status,,,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,rest,Rest,Psychic,Status,,,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,rockslide,Rock Slide,Rock,Physical,75,90,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,rocktomb,Rock Tomb,Rock,Physical,60,95,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,round,Round,Normal,Special,60,100,confirmed
abomasnow,Abomasnow,ranked_allowed_champions_confirmed,needs_check,scaryface,Scary Face,Normal,Status,,100,confirmed
