pokemon_id,pokemon_name,ranked_default_status,strict_M_B_status,move_id,move_name,type,category,power,accuracy,source_status
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,acidspray,Acid Spray,Poison,Special,40,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,agility,Agility,Psychic,Status,,,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,assurance,Assurance,Dark,Physical,60,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,attract,Attract,Normal,Status,,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,batonpass,Baton Pass,Normal,Status,,,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,bite,Bite,Dark,Physical,60,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,bugbite,Bug Bite,Bug,Physical,60,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,bulldoze,Bulldoze,Ground,Physical,60,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,crosspoison,Cross Poison,Poison,Physical,70,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,dig,Dig,Ground,Physical,80,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,doublehit,Double Hit,Normal,Physical,35,90,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,doubleedge,Double-Edge,Normal,Physical,120,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,earthquake,Earthquake,Ground,Physical,100,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,endure,Endure,Normal,Status,,,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,facade,Facade,Normal,Physical,70,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,gigaimpact,Giga Impact,Normal,Physical,150,90,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,gunkshot,Gunk Shot,Poison,Physical,120,80,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,gyroball,Gyro Ball,Steel,Physical,,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,hex,Hex,Ghost,Special,65,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,hyperbeam,Hyper Beam,Normal,Special,150,90,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,irondefense,Iron Defense,Steel,Status,,,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,irontail,Iron Tail,Steel,Physical,100,75,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,leechlife,Leech Life,Bug,Physical,80,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,megahorn,Megahorn,Bug,Physical,120,85,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,payback,Payback,Dark,Physical,50,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,pinmissile,Pin Missile,Bug,Physical,25,95,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,poisonjab,Poison Jab,Poison,Physical,80,100,confirmed
scolipedemega,Mega Scolipede,ranked_allowed_champions_confirmed,confirmed,pounce,Pounce,Bug,Physical,50,100,confirmed
